modelo,nobs,r2,r2_ajustado,aic,bic,rmse,mae
OLS casos,2291.0,0.265044,0.264723,31543.520012,31554.9935,236.137371,153.244472
OLS hospitalizaciones,2291.0,0.973298,0.973286,23948.690977,23960.164464,45.009695,25.661349
